path,transcription
TIMIT/data/TRAIN\DR2\MDEM0\VOCODED_SI800.WAV.wav,"THE SIMPLEST KIND OF SEPARATE SYSTEM USES A SINGLE, SELF-CONTAINED UNIT."
TIMIT/data/TRAIN\DR2\MDEM0\VOCODED_SX158.WAV.wav,THE DRUNKARD IS A SOCIAL OUTCAST.
TIMIT/data/TRAIN\DR2\MDEM0\VOCODED_SX248.WAV.wav,READING IN POOR LIGHT GIVES YOU EYESTRAIN.
TIMIT/data/TRAIN\DR2\MDEM0\VOCODED_SX338.WAV.wav,"THE DARK, MURKY LAGOON WOUND AROUND FOR MILES."
TIMIT/data/TRAIN\DR2\MDEM0\VOCODED_SX428.WAV.wav,"A CRAB CHALLENGED ME, BUT A QUICK STAB VANQUISHED HIM."
TIMIT/data/TRAIN\DR2\MDEM0\VOCODED_SX68.WAV.wav,UPGRADE YOUR STATUS TO REFLECT YOUR WEALTH.
TIMIT/data/TRAIN\DR2\MDLB0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR2\MDLB0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR2\MDLB0\VOCODED_SI1306.WAV.wav,"THIS VISCOSITY OF THE MATERIAL IN THE DROPS IS, OF COURSE, NOT NEGLIGIBLE."
TIMIT/data/TRAIN\DR2\MDLB0\VOCODED_SI1936.WAV.wav,WE'LL RIDE OUT AS SOON AS WE'VE HAD CHUCK.
TIMIT/data/TRAIN\DR2\MDLB0\VOCODED_SI676.WAV.wav,THEOCRACY RECONSIDERED.
TIMIT/data/TRAIN\DR2\MDLB0\VOCODED_SX136.WAV.wav,SCIENTIFIC PROGRESS COMES FROM THE DEVELOPMENT OF NEW TECHNIQUES.
TIMIT/data/TRAIN\DR2\MDLB0\VOCODED_SX226.WAV.wav,STEPH COULD BARELY HANDLE THE PSYCHOLOGICAL TRAUMA.
TIMIT/data/TRAIN\DR2\MDLB0\VOCODED_SX316.WAV.wav,THAT DOG CHASES CATS MERCILESSLY.
TIMIT/data/TRAIN\DR2\MDLB0\VOCODED_SX406.WAV.wav,THERE WAS A GIGANTIC WASP NEXT TO IRVING'S BIG TOP HAT.
TIMIT/data/TRAIN\DR2\MDLB0\VOCODED_SX46.WAV.wav,THAT PICKPOCKET WAS CAUGHT RED-HANDED.
TIMIT/data/TRAIN\DR2\MDLC2\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR2\MDLC2\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR2\MDLC2\VOCODED_SI1614.WAV.wav,THIS KID'S FROZE BAD.
TIMIT/data/TRAIN\DR2\MDLC2\VOCODED_SI2244.WAV.wav,NOBODY LIKES SNAKES.
TIMIT/data/TRAIN\DR2\MDLC2\VOCODED_SI984.WAV.wav,"SINCE A FALL OR BLOW MIGHT HAVE CAUSED IT, A COLD PACK WAS USUALLY FIRST AID."
TIMIT/data/TRAIN\DR2\MDLC2\VOCODED_SX174.WAV.wav,THE HAUNTED HOUSE WAS A HIT DUE TO OUTSTANDING AUDIO-VISUAL EFFECTS.
TIMIT/data/TRAIN\DR2\MDLC2\VOCODED_SX264.WAV.wav,WE SAW EIGHT TINY ICICLES BELOW OUR ROOF.
TIMIT/data/TRAIN\DR2\MDLC2\VOCODED_SX354.WAV.wav,A LAWYER WAS APPOINTED TO EXECUTE HER WILL.
TIMIT/data/TRAIN\DR2\MDLC2\VOCODED_SX444.WAV.wav,THE TODDLER FOUND A CLAMSHELL NEAR THE CAMP SITE.
TIMIT/data/TRAIN\DR2\MDLC2\VOCODED_SX84.WAV.wav,COOPERATION ALONG WITH UNDERSTANDING ALLEVIATE DISPUTE.
TIMIT/data/TRAIN\DR2\MDMT0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR2\MDMT0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR2\MDMT0\VOCODED_SI1832.WAV.wav,"YOU'RE RIGHT NOW, BUDDY."
TIMIT/data/TRAIN\DR2\MDMT0\VOCODED_SI2341.WAV.wav,"YES, YES, WE'LL LET YOU KNOW."
TIMIT/data/TRAIN\DR2\MDMT0\VOCODED_SI572.WAV.wav,"""SEWING BRINGS NUMBNESS"" WRITES: WHAT MAKES MY HANDS NUMB WHEN SEWING?"
TIMIT/data/TRAIN\DR2\MDMT0\VOCODED_SX122.WAV.wav,ENCYCLOPEDIAS SELDOM PRESENT ANECDOTAL EVIDENCE.
TIMIT/data/TRAIN\DR2\MDMT0\VOCODED_SX212.WAV.wav,I GAVE THEM SEVERAL CHOICES AND LET THEM SET THE PRIORITIES.
TIMIT/data/TRAIN\DR2\MDMT0\VOCODED_SX302.WAV.wav,TOFU IS MADE FROM PROCESSED SOYBEANS.
TIMIT/data/TRAIN\DR2\MDMT0\VOCODED_SX32.WAV.wav,IT'S FUN TO ROAST MARSHMALLOWS ON A GAS BURNER.
TIMIT/data/TRAIN\DR2\MDMT0\VOCODED_SX392.WAV.wav,A YOUNG MOUSE SCAMPERED ACROSS THE FIELD AND DISAPPEARED.
TIMIT/data/TRAIN\DR2\MDPS0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR2\MDPS0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR2\MDPS0\VOCODED_SI1651.WAV.wav,SHE LOOKED AT ME PROVOCATIVELY.
TIMIT/data/TRAIN\DR2\MDPS0\VOCODED_SI1979.WAV.wav,"WE WERE OFF THE ROAD, GLEAMING BARBED WIRE PULLING TAUT."
TIMIT/data/TRAIN\DR2\MDPS0\VOCODED_SI719.WAV.wav,INDUSTRY INTEREST IN SAFETY GOES EVEN FARTHER.
TIMIT/data/TRAIN\DR2\MDPS0\VOCODED_SX179.WAV.wav,WE COULD BARELY SEE THE FJORDS THROUGH THE SNOW FLURRIES.
TIMIT/data/TRAIN\DR2\MDPS0\VOCODED_SX269.WAV.wav,DO ATYPICAL FARMERS GROW OATS?
TIMIT/data/TRAIN\DR2\MDPS0\VOCODED_SX359.WAV.wav,"THE SYSTEM MAY BREAK DOWN SOON, SO SAVE YOUR FILES FREQUENTLY."
TIMIT/data/TRAIN\DR2\MDPS0\VOCODED_SX449.WAV.wav,RALPH PREPARED RED SNAPPER WITH FRESH LEMON SAUCE FOR DINNER.
TIMIT/data/TRAIN\DR2\MDPS0\VOCODED_SX89.WAV.wav,IT'S HARD TO TELL AN ORIGINAL FROM A FORGERY.
TIMIT/data/TRAIN\DR2\MDSS0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR2\MDSS0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR2\MDSS0\VOCODED_SI1881.WAV.wav,POWDER FLAME GUSHED BENEATH THE WAGON.
TIMIT/data/TRAIN\DR2\MDSS0\VOCODED_SI2087.WAV.wav,WHY LACERATE THE -- CONGREGATION?
TIMIT/data/TRAIN\DR2\MDSS0\VOCODED_SI621.WAV.wav,NOT A CORNER HAS BEEN VISIBLY CUT IN THIS ONE.
TIMIT/data/TRAIN\DR2\MDSS0\VOCODED_SX171.WAV.wav,"THE DIAGNOSIS WAS DISCOURAGING; HOWEVER, HE WAS NOT OVERLY WORRIED."
TIMIT/data/TRAIN\DR2\MDSS0\VOCODED_SX261.WAV.wav,DO YOU HAVE THE YELLOW OINTMENT READY?
TIMIT/data/TRAIN\DR2\MDSS0\VOCODED_SX351.WAV.wav,THE NEW SUBURBANITES WORKED HARD ON REFURBISHING THEIR OLDER HOME.
TIMIT/data/TRAIN\DR2\MDSS0\VOCODED_SX441.WAV.wav,DON'T LOOK FOR GROUP VALUABLES IN A BANK VAULT.
TIMIT/data/TRAIN\DR2\MDSS0\VOCODED_SX81.WAV.wav,IT'S IMPOSSIBLE TO DEAL WITH BUREAUCRACY.
TIMIT/data/TRAIN\DR2\MDWD0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR2\MDWD0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR2\MDWD0\VOCODED_SI1260.WAV.wav,UNIT PRICES FOR STATE VEHICLES ARE INVARIABLY LOWER THAN TO THE GENERAL PUBLIC.
TIMIT/data/TRAIN\DR2\MDWD0\VOCODED_SI1890.WAV.wav,"ALTHOUGH MY SHOT KILLED HIS HORSE, HE ROLLED OFF THE BALE ON TOP OF ME."
TIMIT/data/TRAIN\DR2\MDWD0\VOCODED_SI557.WAV.wav,HOW DO THEY TURN OUT LATER?
TIMIT/data/TRAIN\DR2\MDWD0\VOCODED_SX180.WAV.wav,ALMOST ALL COLLEGES ARE NOW COEDUCATIONAL.
TIMIT/data/TRAIN\DR2\MDWD0\VOCODED_SX270.WAV.wav,ARE HOLIDAY APRONS AVAILABLE TO US?
TIMIT/data/TRAIN\DR2\MDWD0\VOCODED_SX360.WAV.wav,I ASSUME MOISTURE WILL DAMAGE THIS SHIP'S HULL.
TIMIT/data/TRAIN\DR2\MDWD0\VOCODED_SX450.WAV.wav,ROY IGNORED THE SPURIOUS DATA POINTS IN DRAWING THE GRAPH.
TIMIT/data/TRAIN\DR2\MDWD0\VOCODED_SX90.WAV.wav,THE THINKER IS A FAMOUS SCULPTURE.
TIMIT/data/TRAIN\DR2\MEFG0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR2\MEFG0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR2\MEFG0\VOCODED_SI465.WAV.wav,NOBODY REALLY EXPECTS TO EVACUATE.
TIMIT/data/TRAIN\DR2\MEFG0\VOCODED_SI491.WAV.wav,HIRING THE WIFE FOR ONE'S COMPANY MAY WIN HER TAX-AIDED RETIREMENT INCOME.
TIMIT/data/TRAIN\DR2\MEFG0\VOCODED_SI598.WAV.wav,NEW SELF-DECEIVING RAGS ARE HURRIEDLY TOSSED ON THE TOO-NAKED BONES.
TIMIT/data/TRAIN\DR2\MEFG0\VOCODED_SX105.WAV.wav,YOU MUST EXPLICITLY DELETE FILES.
TIMIT/data/TRAIN\DR2\MEFG0\VOCODED_SX15.WAV.wav,THE MUSEUM HIRES MUSICIANS EVERY EVENING.
TIMIT/data/TRAIN\DR2\MEFG0\VOCODED_SX195.WAV.wav,WOULD YOU ALLOW ACTS OF VIOLENCE?
TIMIT/data/TRAIN\DR2\MEFG0\VOCODED_SX285.WAV.wav,RICH PURCHASED SEVERAL SIGNED LITHOGRAPHS.
TIMIT/data/TRAIN\DR2\MEFG0\VOCODED_SX375.WAV.wav,GROWING WELL-KEPT GARDENS IS VERY TIME CONSUMING.
TIMIT/data/TRAIN\DR2\MHRM0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR2\MHRM0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR2\MHRM0\VOCODED_SI1475.WAV.wav,IS HIS APPETITE IMPROVED?
TIMIT/data/TRAIN\DR2\MHRM0\VOCODED_SI2218.WAV.wav,NO PRICE IS TOO HIGH WHEN TRUE LOVE IS AT STAKE.
TIMIT/data/TRAIN\DR2\MHRM0\VOCODED_SI958.WAV.wav,ONE OF THE MOST COMMON OF CAMP MALADIES WAS DIARRHOEA.
TIMIT/data/TRAIN\DR2\MHRM0\VOCODED_SX148.WAV.wav,MOST PRECINCTS HAD A THIRD OF THE VOTES COUNTED.
TIMIT/data/TRAIN\DR2\MHRM0\VOCODED_SX238.WAV.wav,A DOCTOR WAS IN THE AMBULANCE WITH THE PATIENT.
TIMIT/data/TRAIN\DR2\MHRM0\VOCODED_SX328.WAV.wav,GREGORY AND TOM CHOSE TO WATCH CARTOONS IN THE AFTERNOON.
TIMIT/data/TRAIN\DR2\MHRM0\VOCODED_SX418.WAV.wav,IRIS THINKS THIS ZOO HAS ELEVEN SPANISH ZEBRAS.
TIMIT/data/TRAIN\DR2\MHRM0\VOCODED_SX58.WAV.wav,WE EXPERIENCE DISTRESS AND FRUSTRATION OBTAINING OUR DEGREES.
TIMIT/data/TRAIN\DR2\MJAE0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR2\MJAE0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR2\MJAE0\VOCODED_SI1524.WAV.wav,"KNOWS THE SCORE WITH A SUPREME EFFORT, HE BROKE IT OFF."
TIMIT/data/TRAIN\DR2\MJAE0\VOCODED_SI1999.WAV.wav,SHE ASKED SMOLDERINGLY.
TIMIT/data/TRAIN\DR2\MJAE0\VOCODED_SI2154.WAV.wav,SHE MUST HAVE PUT HIS CLOTHES IN THE CLOSET.
TIMIT/data/TRAIN\DR2\MJAE0\VOCODED_SX174.WAV.wav,THE HAUNTED HOUSE WAS A HIT DUE TO OUTSTANDING AUDIO-VISUAL EFFECTS.
TIMIT/data/TRAIN\DR2\MJAE0\VOCODED_SX264.WAV.wav,WE SAW EIGHT TINY ICICLES BELOW OUR ROOF.
TIMIT/data/TRAIN\DR2\MJAE0\VOCODED_SX354.WAV.wav,A LAWYER WAS APPOINTED TO EXECUTE HER WILL.
TIMIT/data/TRAIN\DR2\MJAE0\VOCODED_SX444.WAV.wav,THE TODDLER FOUND A CLAMSHELL NEAR THE CAMP SITE.
TIMIT/data/TRAIN\DR2\MJAE0\VOCODED_SX84.WAV.wav,COOPERATION ALONG WITH UNDERSTANDING ALLEVIATE DISPUTE.
TIMIT/data/TRAIN\DR2\MJBG0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR2\MJBG0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR2\MJBG0\VOCODED_SI1232.WAV.wav,THEY WERE NOT YET PREPARED TO ACCEPT IT AS IRREMEDIABLE.
TIMIT/data/TRAIN\DR2\MJBG0\VOCODED_SI1724.WAV.wav,THEY WERE ALL FADED.
TIMIT/data/TRAIN\DR2\MJBG0\VOCODED_SI1862.WAV.wav,WE'LL PAY YOU BACK IF YOU'LL LET US.
TIMIT/data/TRAIN\DR2\MJBG0\VOCODED_SX152.WAV.wav,"MOSQUITOES EXIST IN WARM, HUMID CLIMATES."
TIMIT/data/TRAIN\DR2\MJBG0\VOCODED_SX242.WAV.wav,MAY I ORDER A STRAWBERRY SUNDAE AFTER I EAT DINNER?
TIMIT/data/TRAIN\DR2\MJBG0\VOCODED_SX332.WAV.wav,TODD PLACED TOP PRIORITY ON GETTING HIS BIKE FIXED.
TIMIT/data/TRAIN\DR2\MJBG0\VOCODED_SX422.WAV.wav,"ONCE YOU FINISH GREASING YOUR CHAIN, BE SURE TO WASH THOROUGHLY."
TIMIT/data/TRAIN\DR2\MJBG0\VOCODED_SX62.WAV.wav,ANY CONTRIBUTIONS WILL BE GREATLY APPRECIATED.
TIMIT/data/TRAIN\DR2\MJDE0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR2\MJDE0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR2\MJDE0\VOCODED_SI1120.WAV.wav,HIS TOUGH HONESTY CONDEMNS HIM TO A SOLITARY AND DIFFICULT EXISTENCE.
TIMIT/data/TRAIN\DR2\MJDE0\VOCODED_SI463.WAV.wav,THE HOTEL OWNER SHRUGGED.
TIMIT/data/TRAIN\DR2\MJDE0\VOCODED_SI490.WAV.wav,MAYBE IT'S TAKING LONGER TO GET THINGS SQUARED AWAY THAN THE BANKERS EXPECTED.
TIMIT/data/TRAIN\DR2\MJDE0\VOCODED_SX130.WAV.wav,HE ATE FOUR EXTRA EGGS FOR BREAKFAST.
TIMIT/data/TRAIN\DR2\MJDE0\VOCODED_SX220.WAV.wav,THE MOST RECENT GEOLOGICAL SURVEY FOUND SEISMIC ACTIVITY.
TIMIT/data/TRAIN\DR2\MJDE0\VOCODED_SX310.WAV.wav,THE HOOD OF THE JEEP WAS STEAMING IN THE HOT SUN.
TIMIT/data/TRAIN\DR2\MJDE0\VOCODED_SX40.WAV.wav,STIMULATING DISCUSSIONS KEEP STUDENTS' ATTENTION.
TIMIT/data/TRAIN\DR2\MJDE0\VOCODED_SX400.WAV.wav,JUST DROP NOTICES IN ANY SUGGESTION BOX.
TIMIT/data/TRAIN\DR2\MJEB0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR2\MJEB0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR2\MJEB0\VOCODED_SI1286.WAV.wav,BLOWERS SHOULD BE OPERATED PERIODICALLY ON A REGULAR SCHEDULE.
TIMIT/data/TRAIN\DR2\MJEB0\VOCODED_SI1916.WAV.wav,PERHAPS IT WAS ALL A VIVIDLY CONCEIVED DREAM.
TIMIT/data/TRAIN\DR2\MJEB0\VOCODED_SI656.WAV.wav,BUT THIS STATEMENT IS COMPLETELY UNCONVINCING.
TIMIT/data/TRAIN\DR2\MJEB0\VOCODED_SX170.WAV.wav,THE MAYAN NEOCLASSIC SCHOLAR DISAPPEARED WHILE SURVEYING ANCIENT RUINS.
TIMIT/data/TRAIN\DR2\MJEB0\VOCODED_SX206.WAV.wav,"WHEN PEELING AN ORANGE, IT IS HARD NOT TO SPRAY JUICE."
TIMIT/data/TRAIN\DR2\MJEB0\VOCODED_SX26.WAV.wav,MOST YOUNG RISE EARLY EVERY MORNING.
TIMIT/data/TRAIN\DR2\MJEB0\VOCODED_SX296.WAV.wav,THE TWO ARTISTS EXCHANGED AUTOGRAPHS.
TIMIT/data/TRAIN\DR2\MJEB0\VOCODED_SX386.WAV.wav,WHICH CHURCH DO THE SMITHS WORSHIP IN?
TIMIT/data/TRAIN\DR2\MJHI0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR2\MJHI0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR2\MJHI0\VOCODED_SI1328.WAV.wav,IT IS POSSIBLE TO MAKE A FEW GENERALIZATIONS ABOUT THE SIX GIANTS THEMSELVES.
TIMIT/data/TRAIN\DR2\MJHI0\VOCODED_SI555.WAV.wav,ONLY INGENUITY WILL UNCOVER IT.
TIMIT/data/TRAIN\DR2\MJHI0\VOCODED_SI698.WAV.wav,THE CRISIS LATER ON WHEN DEBTS SEEMED ABOUT TO OVERWHELM ME.
TIMIT/data/TRAIN\DR2\MJHI0\VOCODED_SX158.WAV.wav,THE DRUNKARD IS A SOCIAL OUTCAST.
TIMIT/data/TRAIN\DR2\MJHI0\VOCODED_SX248.WAV.wav,READING IN POOR LIGHT GIVES YOU EYESTRAIN.
TIMIT/data/TRAIN\DR2\MJHI0\VOCODED_SX338.WAV.wav,"THE DARK, MURKY LAGOON WOUND AROUND FOR MILES."
TIMIT/data/TRAIN\DR2\MJHI0\VOCODED_SX428.WAV.wav,"A CRAB CHALLENGED ME, BUT A QUICK STAB VANQUISHED HIM."
TIMIT/data/TRAIN\DR2\MJHI0\VOCODED_SX68.WAV.wav,UPGRADE YOUR STATUS TO REFLECT YOUR WEALTH.
TIMIT/data/TRAIN\DR2\MJMA0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR2\MJMA0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR2\MJMA0\VOCODED_SI1495.WAV.wav,TWO GAS LAMPS WERE NO MORE THAN A MISLEADING GLOW.
TIMIT/data/TRAIN\DR2\MJMA0\VOCODED_SI2125.WAV.wav,"HIS BLACK HAT WITH ITS WIDE BRIM, HIGH CROWN, AND FUR TRIM RODE HIGH."
TIMIT/data/TRAIN\DR2\MJMA0\VOCODED_SI865.WAV.wav,"NEITHER ARE BEDS, THANKS TO AIR MATTRESSES AND SLEEPING BAGS."
TIMIT/data/TRAIN\DR2\MJMA0\VOCODED_SX145.WAV.wav,TOO MUCH CURIOSITY CAN GET YOU INTO TROUBLE.
TIMIT/data/TRAIN\DR2\MJMA0\VOCODED_SX235.WAV.wav,I ITEMIZE ALL ACCOUNTS IN MY AGENCY.
TIMIT/data/TRAIN\DR2\MJMA0\VOCODED_SX325.WAV.wav,THE FULL MOON SHONE BRIGHTLY THAT NIGHT.
TIMIT/data/TRAIN\DR2\MJMA0\VOCODED_SX415.WAV.wav,MOVE THE GARBAGE NEARER TO THE LARGE WINDOW.
TIMIT/data/TRAIN\DR2\MJMA0\VOCODED_SX55.WAV.wav,THE LACK OF HEAT COMPOUNDED THE TENANT'S GRIEVANCES.
TIMIT/data/TRAIN\DR2\MJMD0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR2\MJMD0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR2\MJMD0\VOCODED_SI1028.WAV.wav,BUT NOW SHE SANK LOWER TO THE ROCK.
TIMIT/data/TRAIN\DR2\MJMD0\VOCODED_SI1658.WAV.wav,WHERE WERE THEY NOW?
TIMIT/data/TRAIN\DR2\MJMD0\VOCODED_SI2288.WAV.wav,ANOTHER BRAND OF INDEFINITE REFERENCE ARISES OUT OF THE USE OF THE DOUBLE VERB.
TIMIT/data/TRAIN\DR2\MJMD0\VOCODED_SX128.WAV.wav,LOTS OF FOREIGN MOVIES HAVE SUBTITLES.
TIMIT/data/TRAIN\DR2\MJMD0\VOCODED_SX218.WAV.wav,TRY TO RECALL THE EVENTS IN CHRONOLOGICAL ORDER.
TIMIT/data/TRAIN\DR2\MJMD0\VOCODED_SX308.WAV.wav,SHIPBUILDING IS A MOST FASCINATING PROCESS.
TIMIT/data/TRAIN\DR2\MJMD0\VOCODED_SX38.WAV.wav,YOUNG PEOPLE PARTICIPATE IN ATHLETIC ACTIVITIES.
TIMIT/data/TRAIN\DR2\MJMD0\VOCODED_SX398.WAV.wav,CHILDREN CAN CONSUME MANY FRUIT CANDIES IN ONE SITTING.
TIMIT/data/TRAIN\DR2\MJPM0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR2\MJPM0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR2\MJPM0\VOCODED_SI1368.WAV.wav,THE BATTING AVERAGE OF ONE SUCCESS OUT OF SEVEN INCREASED TO ONE OUT OF THREE.
TIMIT/data/TRAIN\DR2\MJPM0\VOCODED_SI1998.WAV.wav,"SHE TOOK IT GRUDGINGLY, HER DARK EYES BALEFUL AS THEY MET HIS."
TIMIT/data/TRAIN\DR2\MJPM0\VOCODED_SI738.WAV.wav,DON'T PLAN MEALS THAT ARE TOO COMPLICATED.
TIMIT/data/TRAIN\DR2\MJPM0\VOCODED_SX108.WAV.wav,HIS SCALP WAS BLISTERED FROM TODAY'S HOT SUN.
TIMIT/data/TRAIN\DR2\MJPM0\VOCODED_SX18.WAV.wav,ALIMONY HARMS A DIVORCED MAN'S WEALTH.
TIMIT/data/TRAIN\DR2\MJPM0\VOCODED_SX198.WAV.wav,NORWEGIAN SWEATERS ARE MADE OF LAMB'S WOOL.
TIMIT/data/TRAIN\DR2\MJPM0\VOCODED_SX288.WAV.wav,BRUSH FIRES ARE COMMON IN THE DRY UNDERBRUSH OF NEVADA.
TIMIT/data/TRAIN\DR2\MJPM0\VOCODED_SX378.WAV.wav,I JUST SAW JIM NEAR THE NEW ARCHEOLOGICAL MUSEUM.
TIMIT/data/TRAIN\DR2\MJRP0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR2\MJRP0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR2\MJRP0\VOCODED_SI1835.WAV.wav,THE TAPES SHOW THAT.
TIMIT/data/TRAIN\DR2\MJRP0\VOCODED_SI1845.WAV.wav,THE SUDDEN SOLITUDE HAD LOST ITS MOMENTARY CHARM AND BECOME OPPRESSIVE.
TIMIT/data/TRAIN\DR2\MJRP0\VOCODED_SI585.WAV.wav,OUR ENTIRE ECONOMY WILL HAVE A TERRIFIC UPLIFT.
TIMIT/data/TRAIN\DR2\MJRP0\VOCODED_SX135.WAV.wav,TECHNICAL WRITERS CAN ABBREVIATE IN BIBLIOGRAPHIES.
TIMIT/data/TRAIN\DR2\MJRP0\VOCODED_SX225.WAV.wav,KEEP THE THERMOMETER UNDER YOUR TONGUE!
TIMIT/data/TRAIN\DR2\MJRP0\VOCODED_SX315.WAV.wav,BOB FOUND MORE CLAMS AT THE OCEAN'S EDGE.
TIMIT/data/TRAIN\DR2\MJRP0\VOCODED_SX405.WAV.wav,OF COURSE YOU CAN HAVE ANOTHER TUNAFISH SANDWICH.
TIMIT/data/TRAIN\DR2\MJRP0\VOCODED_SX45.WAV.wav,ADDITION AND SUBTRACTION ARE LEARNED SKILLS.
TIMIT/data/TRAIN\DR2\MKAH0\VOCODED_SA1.WAV.wav,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR.
TIMIT/data/TRAIN\DR2\MKAH0\VOCODED_SA2.WAV.wav,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT.
TIMIT/data/TRAIN\DR2\MKAH0\VOCODED_SI1528.WAV.wav,"SEE, HE'S ALREADY SNAPPING IT UP, THE DUMB JERK."
TIMIT/data/TRAIN\DR2\MKAH0\VOCODED_SI2158.WAV.wav,FOR A MOMENT HE FELT LIKE A THIEF DISCOVERED.
TIMIT/data/TRAIN\DR2\MKAH0\VOCODED_SI898.WAV.wav,WHERE CAN WE GET THIS CEREAL HE LIKES SO MUCH?
TIMIT/data/TRAIN\DR2\MKAH0\VOCODED_SX178.WAV.wav,SHE ENCOURAGED HER CHILDREN TO MAKE THEIR OWN HALLOWEEN COSTUMES.
TIMIT/data/TRAIN\DR2\MKAH0\VOCODED_SX268.WAV.wav,THE JAW OPERATES BY USING ANTAGONISTIC MUSCLES.
